Year,﻿Distributor,Films Distributed,Gross Revenue,Revenue per Film
1995,20th Century Fox,11,410787635,37344330.45
1995,Paramount Pictures,12,529884404,44157033.67
1995,Sony Pictures,20,682169140,34108457
1995,Universal,17,666656425,39215083.82
1995,Walt Disney,22,1012034105,46001550.23
1995,Warner Bros,27,866884482,32106832.67
1996,20th Century Fox,13,730976224,56228940.31
1996,Paramount Pictures,16,740924146,46307759.13
1996,Sony Pictures,24,613455899,25560662.46
1996,Universal,13,482379703,37106131
1996,Walt Disney,23,1197737813,52075557.09
1996,Warner Bros,31,909761563,29347147.19
1997,20th Century Fox,12,644398839,53699903.25
1997,Paramount Pictures,16,889415108,55588444.25
1997,Sony Pictures,22,1269256493,57693476.95
1997,Universal,11,614947075,55904279.55
1997,Walt Disney,22,885889269,40267694.05
1997,Warner Bros,31,670912791,21642348.1
1998,20th Century Fox,11,729639504,66330864
1998,Paramount Pictures,11,1046011656,95091968.73
1998,Sony Pictures,20,684267457,34213372.85
1998,Universal,16,400605109,25037819.31
1998,Walt Disney,21,1109009676,52809984.57
1998,Warner Bros,27,758468077,28091410.26
1999,20th Century Fox,15,800943593,53396239.53
1999,Paramount Pictures,13,848754297,65288792.08
1999,Sony Pictures,22,638293197,29013327.14
1999,Universal,16,934514419,58407151.19
1999,Walt Disney,20,1244033523,62201676.15
1999,Warner Bros,27,1042641425,38616349.07
2000,20th Century Fox,13,730393108,56184085.23
2000,Paramount Pictures,12,785491260,65457605
2000,Sony Pictures,15,682786474,45519098.27
2000,Universal,13,1070765560,82366581.54
2000,Walt Disney,22,1111156845,50507129.32
2000,Warner Bros,29,888590005,30641034.66
2001,20th Century Fox,16,862854286,53928392.88
2001,Paramount Pictures,14,914413744,65315267.43
2001,Sony Pictures,17,731442580,43026034.12
2001,Universal,10,948895186,94889518.6
2001,Walt Disney,16,901680342,56355021.38
2001,Warner Bros,30,1232663479,41088782.63
2002,20th Century Fox,15,981440569,65429371.27
2002,Paramount Pictures,16,673939881,42121242.56
2002,Sony Pictures,20,1554048733,77702436.65
2002,Universal,13,884893161,68068704.69
2002,Walt Disney,23,1175098032,51091218.78
2002,Warner Bros,32,1061821381,33181918.16
2003,20th Century Fox,13,798485552,61421965.54
2003,Paramount Pictures,14,653849399,46703528.5
2003,Sony Pictures,19,1214967851,63945676.37
2003,Universal,13,1087018447,83616803.62
2003,Walt Disney,19,1522300661,80121087.42
2003,Warner Bros,28,1162084535,41503019.11
2004,20th Century Fox,18,916038874,50891048.56
2004,Paramount Pictures,14,624885940,44634710
2004,Sony Pictures,15,1324445435,88296362.33
2004,Universal,14,906814175,64772441.07
2004,Walt Disney,25,1157150529,46286021.16
2004,Warner Bros,27,1238978203,45888081.59
2005,20th Century Fox,19,1352532267,71185908.79
2005,Paramount Pictures,12,821959361,68496613.42
2005,Sony Pictures,19,908509878,47816309.37
2005,Universal,17,992449332,58379372.47
2005,Walt Disney,20,919318827,45965941.35
2005,Warner Bros,20,1375205687,68760284.35
2006,20th Century Fox,25,1390344635,55613785.4
2006,Paramount Pictures,13,947010659,72846973.77
2006,Sony Pictures,26,1700794004,65415154
2006,Universal,21,804919026,38329477.43
2006,Walt Disney,17,1483993492,87293734.82
2006,Warner Bros,26,1065174412,40968246.62
2007,20th Century Fox,17,1026983634,60410802
2007,Paramount Pictures,16,1502551245,93909452.81
2007,Sony Pictures,22,1264658299,57484468.14
2007,Universal,20,1102122027,55106101.35
2007,Walt Disney,13,1407749495,108288422.7
2007,Warner Bros,30,1434019362,47800645.4
2008,20th Century Fox,22,1048311696,47650531.64
2008,Paramount Pictures,14,1602712839,114479488.5
2008,Sony Pictures,19,1266210334,66642649.16
2008,Universal,19,1074520152,56553692.21
2008,Walt Disney,11,1000079574,90916324.91
2008,Warner Bros,19,1786092154,94004850.21
2009,20th Century Fox,20,1460228750,73011437.5
2009,Paramount Pictures,10,1460075602,146007560.2
2009,Sony Pictures,21,1447935464,68949307.81
2009,Universal,21,898333720,42777796.19
2009,Walt Disney,14,1205647954,86117711
2009,Warner Bros,25,2130619667,85224786.68
2010,20th Century Fox,18,1391779577,77321087.61
2010,Paramount Pictures,12,1727156249,143929687.4
2010,Sony Pictures,17,1284700925,75570642.65
2010,Universal,17,885837281,52108075.35
2010,Walt Disney,12,1465778171,122148180.9
2010,Warner Bros,20,1883594258,94179712.9
2011,20th Century Fox,15,982812355,65520823.67
2011,Paramount Pictures,13,1966886567,151298966.7
2011,Sony Pictures,21,1270723280,60510632.38
2011,Universal,19,1025035016,53949211.37
2011,Walt Disney,13,1225139953,94241534.85
2011,Warner Bros,20,1829445272,91472263.6
2012,20th Century Fox,15,1030117301,68674486.73
2012,Paramount Pictures,13,919099720,70699978.46
2012,Sony Pictures,18,1796852200,99825122.22
2012,Universal,17,1368500098,80500005.76
2012,Walt Disney,11,1566749202,142431745.6
2012,Warner Bros,16,1679495537,104968471.1
2013,20th Century Fox,15,1068879026,71258601.73
2013,Paramount Pictures,8,994078331,124259791.4
2013,Sony Pictures,14,1155691747,82549410.5
2013,Universal,16,1396510275,87281892.19
2013,Walt Disney,8,1739045292,217380661.5
2013,Warner Bros,17,1858548892,109326405.4
2014,20th Century Fox,17,1768595952,104035056
2014,Paramount Pictures,10,1007439212,100743921.2
2014,Sony Pictures,17,1257971227,73998307.47
2014,Universal,15,1103203468,73546897.87
2014,Walt Disney,12,1602064779,133505398.3
2014,Warner Bros,17,1562804680,91929687.06
2015,20th Century Fox,18,1303466089,72414782.72
2015,Paramount Pictures,9,699155047,77683894.11
2015,Sony Pictures,13,965141887,74241683.62
2015,Universal,20,2458753995,122937699.8
2015,Walt Disney,11,2340675473,212788679.4
2015,Warner Bros,22,1568122153,71278279.68
2016,20th Century Fox,16,1469417793,91838612.06
2016,Paramount Pictures,12,843742749,70311895.75
2016,Sony Pictures,16,911156774,56947298.38
2016,Universal,22,1419511562,64523252.82
2016,Walt Disney,12,2934895822,244574651.8
2016,Warner Bros,17,1908460137,112262361
2017,20th Century Fox,14,1326397407,94742671.93
2017,Paramount Pictures,10,525408030,52540803
2017,Sony Pictures,16,1058399356,66149959.75
2017,Universal,15,1513519872,100901324.8
2017,Walt Disney,8,2389889940,298736242.5
2017,Warner Bros,18,2034888634,113049368.6
2018,20th Century Fox,11,1090603414,99145764.91
2018,Paramount Pictures,10,768846822,76884682.2
2018,Sony Pictures,16,1334915146,83432196.63
2018,Universal,20,1768084821,88404241.05
2018,Walt Disney,10,3135010376,313501037.6
2018,Warner Bros,19,1932451694,101707983.9
2019,20th Century Fox,11,492158921,44741720.09
2019,Paramount Pictures,9,563908126,62656458.44
2019,Sony Pictures,18,1374824330,76379129.44
2019,Universal,21,1303896396,62090304.57
2019,Walt Disney,10,3742497656,374249765.6
2019,Warner Bros,18,1570520862,87251159